id,nb_groups,true_victory,true_defeat,ratio_victory,ratio_iou,Embeddings
168,168,139,29,0.827380952380952,0.26309381711345,TransE
166,166,137,29,0.825301204819277,0.260962239515522,TransE
167,167,138,29,0.826347305389221,0.260528610704317,TransE
169,169,139,30,0.822485207100592,0.260053637578183,TransE
165,165,135,30,0.818181818181818,0.257726616265324,TransE
181,181,142,35,0.784530386740332,0.253698805549803,transd
170,170,138,32,0.811764705882353,0.253632155313538,TransE
171,171,139,32,0.812865497076023,0.25339659685233,TransE
180,180,141,35,0.783333333333333,0.252850314930923,transd
182,182,143,35,0.785714285714286,0.251526994157084,transd
179,179,140,35,0.782122905027933,0.250357670256914,transd
146,146,113,32,0.773972602739726,0.250174579502334,distmult
147,147,113,33,0.768707482993197,0.249325181000885,distmult
183,183,144,35,0.786885245901639,0.249075867577662,transd
178,178,140,34,0.786516853932584,0.248683962341849,transd
186,186,146,34,0.78494623655914,0.247816093473876,distmult
191,191,148,35,0.774869109947644,0.245306040342022,transd
187,187,149,34,0.796791443850267,0.245009353955123,distmult
192,192,148,35,0.770833333333333,0.243928692927635,transd
187,187,145,36,0.775401069518717,0.243876905144738,transd
190,190,147,35,0.773684210526316,0.243418244097136,transd
163,163,127,30,0.779141104294479,0.242631853292197,ProjE
164,164,137,27,0.835365853658537,0.241747737221822,TransE
194,194,148,34,0.762886597938144,0.241452713208121,transd
185,185,146,33,0.789189189189189,0.24098821826477,transd
145,145,112,32,0.772413793103448,0.240965106719918,distmult
143,143,117,26,0.818181818181818,0.24092944234539,TransE
196,196,148,35,0.755102040816326,0.240743011675932,distmult
202,202,153,33,0.757425742574257,0.240279825375959,transd
186,186,146,33,0.78494623655914,0.239666611027192,transd
144,144,112,31,0.777777777777778,0.239638098177223,distmult
163,163,136,27,0.834355828220859,0.2396271562225,TransE
184,184,145,33,0.788043478260869,0.239015397022349,transd
175,175,140,33,0.8,0.238814487141262,distmult
169,169,131,31,0.775147928994083,0.238638606621551,ProjE
214,214,156,33,0.728971962616822,0.238511352908963,distmult
174,174,139,33,0.798850574712644,0.238287615441137,distmult
173,173,138,33,0.797687861271676,0.238200802630607,distmult
172,172,137,33,0.796511627906977,0.237861605035907,distmult
188,188,147,32,0.781914893617021,0.237844923498765,transd
176,176,140,33,0.795454545454545,0.237770729540118,distmult
204,204,152,38,0.745098039215686,0.237563162342727,distmult
215,215,156,33,0.725581395348837,0.237483883500761,distmult
178,178,141,33,0.792134831460674,0.237473813424412,distmult
217,217,156,33,0.71889400921659,0.237425277358292,distmult
189,189,147,32,0.777777777777778,0.237119110585952,transd
205,205,153,36,0.746341463414634,0.23703155004509,transd
162,162,135,27,0.833333333333333,0.236837920844623,TransE
162,162,126,30,0.777777777777778,0.236797511405867,ProjE
161,161,134,27,0.832298136645963,0.236797198453953,TransE
209,209,153,35,0.732057416267943,0.23678689430359,distmult
179,179,141,33,0.787709497206704,0.236756936696529,distmult
208,208,152,37,0.730769230769231,0.236475166305244,distmult
177,177,140,33,0.790960451977401,0.236417767400043,distmult
216,216,156,33,0.722222222222222,0.236415717488409,distmult
205,205,152,38,0.741463414634146,0.236400712495588,distmult
206,206,153,36,0.742718446601942,0.235904346845603,transd
203,203,153,35,0.753694581280788,0.23565837715554,transd
211,211,155,35,0.734597156398104,0.235557718747281,transd
218,218,155,34,0.711009174311927,0.235521030069658,distmult
206,206,152,38,0.737864077669903,0.235338599474471,distmult
213,213,154,34,0.723004694835681,0.235337057918,distmult
210,210,151,32,0.719047619047619,0.235211952965184,ProjE
213,213,154,36,0.723004694835681,0.235140460660998,transd
219,219,155,34,0.707762557077626,0.234838092928363,distmult
184,184,144,35,0.782608695652174,0.23480014044035,distmult
205,205,148,32,0.721951219512195,0.234583033674664,ProjE
212,212,154,36,0.726415094339623,0.234407747953601,transd
207,207,153,36,0.739130434782609,0.234395627051379,transd
207,207,152,38,0.734299516908213,0.23428941374719,distmult
167,167,133,32,0.796407185628742,0.23417195846595,distmult
200,200,152,36,0.76,0.234104342244991,transd
166,166,132,32,0.795180722891566,0.234082584164704,distmult
214,214,154,36,0.719626168224299,0.234056467312898,transd
199,199,151,36,0.758793969849246,0.233862554873548,transd
177,177,132,32,0.745762711864407,0.233797811019722,ProjE
216,216,155,35,0.717592592592593,0.233781504482074,transd
183,183,143,35,0.781420765027322,0.23376410864091,distmult
